Tier,Genre,Ethnicity,Client_Tag,Creator_Name,TikTok_URL,HitVideos_URL,Hit_Keywords,Followers,Hit_Videos,Median_Views,Engagement_Rate,Vibe_Cluster_Hint,Region_Type
S,FOOD,ASIA,zstea,navito_halal,https://www.tiktok.com/@navito_halal,"https://www.tiktok.com/@navito_halal/video/7489108975833632018, https://www.tiktok.com/@navito_halal/video/7496818383942323463, https://www.tiktok.com/@navito_halal/video/7519149371233946887, https://www.tiktok.com/@navito_halal/video/7528037532785741064, https://www.tiktok.com/@navito_halal/video/7539764236134665489","Best Halal food Tokyo, Halal Friendly Tokyo Guide, Muslim Friendly Tokyo Guide, Best Halal Wagyu Tokyo",457900,12,214600,5.94,Luxury,Tabinaka (JP focus)
S,FOOD,ASIA,zstea,halal.wagyu.stall,https://www.tiktok.com/@halal.wagyu.stall,"https://www.tiktok.com/@halal.wagyu.stall/video/7527619258424036616, https://www.tiktok.com/@halal.wagyu.stall/video/7528350110632348946, https://www.tiktok.com/@halal.wagyu.stall/video/7540579333195222280, https://www.tiktok.com/@halal.wagyu.stall/video/7556092672495193362, https://www.tiktok.com/@halal.wagyu.stall/video/7583286691423702279","Best Halal food Tokyo, Wagyu Burger Tokyo Review, Best Halal Wagyu Tokyo, Halal Friendly Tokyo Guide",4564,9,143900,5.83,Luxury,Tabinaka (JP focus)
S,FOOD,ASIA,zstea,tokyomuslimstay,https://www.tiktok.com/@tokyomuslimstay,"https://www.tiktok.com/@tokyomuslimstay/video/7517922175358078226, https://www.tiktok.com/@tokyomuslimstay/video/7521649369544723730, https://www.tiktok.com/@tokyomuslimstay/video/7563356021302005000, https://www.tiktok.com/@tokyomuslimstay/video/7567408503938141447, https://www.tiktok.com/@tokyomuslimstay/video/7568439177503755538","Muslim Friendly Tokyo Guide, Best Halal food Tokyo, Halal Friendly Tokyo Guide",27000,7,25300,5.69,Urban/Street,Tabinaka (JP focus)
S,EXPERIENCE,AMERICA,creha,niko0813,https://www.tiktok.com/@niko0813,"https://www.tiktok.com/@niko0813/video/7512507472695905543, https://www.tiktok.com/@niko0813/video/7580550777358322951, https://www.tiktok.com/@niko0813/video/7589296294431165703, https://www.tiktok.com/@niko0813/video/7591186668749868295, https://www.tiktok.com/@niko0813/video/7592759992806067474","JDM Tokyo, Tokyo Night Drive, Daikoku PA",124800,6,663000,5.1,Urban/Street,Global
S,EXPERIENCE,AMERICA,creha,88grouptokyoextremedrive,https://www.tiktok.com/@88grouptokyoextremedrive,"https://www.tiktok.com/@88grouptokyoextremedrive/video/7489477003079355703, https://www.tiktok.com/@88grouptokyoextremedrive/video/7512693018193825032, https://www.tiktok.com/@88grouptokyoextremedrive/video/7512694908046576904, https://www.tiktok.com/@88grouptokyoextremedrive/video/7561430640701246738, https://www.tiktok.com/@88grouptokyoextremedrive/video/7562921879175040263","Tokyo Drift Real Life, Daikoku PA, Tokyo Car Meet, JDM Tokyo",251900,5,286700,3.6,Urban/Street,Global
S,EXPERIENCE,ASIA,tokyosauna,asmrtwixtokyoheadspa,https://www.tiktok.com/@asmrtwixtokyoheadspa,"https://www.tiktok.com/@asmrtwixtokyoheadspa/video/7570025153304792375, https://www.tiktok.com/@asmrtwixtokyoheadspa/video/7571509577334656269, https://www.tiktok.com/@asmrtwixtokyoheadspa/video/7584432550072929591, https://www.tiktok.com/@asmrtwixtokyoheadspa/video/7584842244578888974, https://www.tiktok.com/@asmrtwixtokyoheadspa/video/7588166682678512910",Luxury Spa Japan,130800,5,330600,1.07,General,Tabinaka (JP focus)
S,LIFESTYLE,ASIA,wakupaku,japanbringhome,https://www.tiktok.com/@japanbringhome,"https://www.tiktok.com/@japanbringhome/video/7589891707441810709, https://www.tiktok.com/@japanbringhome/video/7604864295888866581, https://www.tiktok.com/@japanbringhome/video/7568449626278219029, https://www.tiktok.com/@japanbringhome/video/7591039387840859413","Unique Japan Souvenirs, Japan Gift Ideas",3514,4,55000,9.04,Hidden Gem,Tabinaka (JP focus)
S,EXPERIENCE,AMERICA,creha,itsjeffandmel,https://www.tiktok.com/@itsjeffandmel,"https://www.tiktok.com/@itsjeffandmel/video/7499802247321095431, https://www.tiktok.com/@itsjeffandmel/video/7569529330578001160, https://www.tiktok.com/@itsjeffandmel/video/7571281249566756114, https://www.tiktok.com/@itsjeffandmel/video/7599969468768537864","Tokyo Gamers Guide, Tokyo DIY Workshop",3144,4,52900,7.5,Luxury,Global
S,LIFESTYLE,ASIA,wakupaku,ciaras.glutenfree.travel,https://www.tiktok.com/@ciaras.glutenfree.travel,"https://www.tiktok.com/@ciaras.glutenfree.travel/video/7525800067463187734, https://www.tiktok.com/@ciaras.glutenfree.travel/video/7546601739361766678, https://www.tiktok.com/@ciaras.glutenfree.travel/video/7516101357632359702, https://www.tiktok.com/@ciaras.glutenfree.travel/video/7531725380760227094",Gluten Free Japan,3512,4,10000,7.37,Traditional/Zen,Tabinaka (JP focus)
S,EXPERIENCE,AMERICA,creha,baochitravel,https://www.tiktok.com/@baochitravel,"https://www.tiktok.com/@baochitravel/video/7563525931864788246, https://www.tiktok.com/@baochitravel/video/7569853959439912214, https://www.tiktok.com/@baochitravel/video/7570553045927382275, https://www.tiktok.com/@baochitravel/video/7572875356403682582",Tokyo DIY Workshop,578600,4,177400,4.5,Urban/Street,Global
